iter	Passed	Remaining
314	542	1179
315	543	1175
316	544	1173
317	545	1170
318	546	1167
319	547	1164
320	549	1161
321	550	1159
322	551	1156
323	552	1153
324	554	1150
325	555	1147
326	556	1144
327	557	1141
328	558	1138
329	559	1135
330	560	1131
331	561	1129
332	562	1125
333	563	1123
334	564	1121
335	565	1118
336	567	1115
337	568	1112
338	569	1109
339	570	1106
340	571	1104
341	572	1101
342	573	1098
343	574	1095
344	575	1092
345	576	1089
346	577	1087
347	579	1085
348	580	1082
349	581	1080
350	582	1077
351	583	1074
352	584	1071
353	585	1069
354	586	1066
355	587	1063
356	588	1060
357	589	1057
358	590	1054
359	591	1052
360	593	1049
361	594	1047
362	595	1044
363	596	1042
364	597	1040
365	599	1037
366	600	1035
367	600	1032
368	601	1029
369	602	1026
370	604	1024
371	604	1021
372	605	1018
373	607	1016
374	608	1014
375	610	1012
376	611	1010
377	612	1008
378	613	1006
379	615	1003
380	616	1000
381	617	998
382	618	995
383	619	993
384	620	990
385	621	987
386	622	985
387	623	983
388	624	981
389	626	979
390	627	977
391	628	974
392	629	972
393	630	969
394	631	967
395	632	964
396	633	961
397	634	959
398	635	956
399	636	955
400	637	952
401	638	950
402	640	948
403	641	946
404	642	943
405	643	940
406	644	938
407	645	935
408	646	933
409	647	931
410	648	928
411	649	926
412	650	924
413	651	921
414	652	919
415	653	917
416	654	915
417	655	913
418	656	910
419	657	908
420	658	905
421	659	903
422	660	901
423	661	898
424	662	896
425	663	894
426	664	891
427	665	889
428	666	887
429	668	885
430	669	883
431	670	881
432	671	879
433	672	876
434	673	874
435	674	872
436	675	869
437	676	867
438	677	865
439	678	863
440	679	861
441	680	859
442	682	857
443	684	857
444	686	855
445	687	854
446	688	851
447	689	849
448	690	847
449	691	845
450	692	842
451	693	840
452	694	838
453	695	836
454	696	833
455	697	831
456	698	829
457	700	828
458	701	827
459	702	825
460	703	822
461	704	820
462	706	818
463	707	816
464	708	814
465	708	812
466	709	810
